"Step","exp80 - metrics/mAP_0.5:0.95","exp80 - metrics/mAP_0.5:0.95__MIN","exp80 - metrics/mAP_0.5:0.95__MAX"
"0","0.006258388880548498","0.006258388880548498","0.006258388880548498"
"1","0.0659616858577335","0.0659616858577335","0.0659616858577335"
"2","0.12330805964227325","0.12330805964227325","0.12330805964227325"
"3","0.1939876297566702","0.1939876297566702","0.1939876297566702"
"4","0.23555121000170717","0.23555121000170717","0.23555121000170717"
"5","0.26602069069741063","0.26602069069741063","0.26602069069741063"
"6","0.2851484177416754","0.2851484177416754","0.2851484177416754"
"7","0.3084132123857082","0.3084132123857082","0.3084132123857082"
"8","0.32033702845799844","0.32033702845799844","0.32033702845799844"
"9","0.32959232495505353","0.32959232495505353","0.32959232495505353"
"10","0.33690828313988547","0.33690828313988547","0.33690828313988547"
"11","0.342441012068553","0.342441012068553","0.342441012068553"
"12","0.3458313606015811","0.3458313606015811","0.3458313606015811"
"13","0.3498099339530225","0.3498099339530225","0.3498099339530225"
"14","0.35376237699431695","0.35376237699431695","0.35376237699431695"
"15","0.35550904863553007","0.35550904863553007","0.35550904863553007"
"16","0.3576506095895049","0.3576506095895049","0.3576506095895049"
"17","0.36123203111428065","0.36123203111428065","0.36123203111428065"
"18","0.36431974529524397","0.36431974529524397","0.36431974529524397"
"19","0.3657481047162605","0.3657481047162605","0.3657481047162605"
"20","0.3679948870224394","0.3679948870224394","0.3679948870224394"
"21","0.36943957236171493","0.36943957236171493","0.36943957236171493"
"22","0.3722233109164808","0.3722233109164808","0.3722233109164808"
"23","0.3751489399203096","0.3751489399203096","0.3751489399203096"
"24","0.37787140794811663","0.37787140794811663","0.37787140794811663"
"25","0.380412399588732","0.380412399588732","0.380412399588732"
"26","0.38369832586846037","0.38369832586846037","0.38369832586846037"
"27","0.3862384498572691","0.3862384498572691","0.3862384498572691"
"28","0.3883950072526081","0.3883950072526081","0.3883950072526081"
"29","0.38924241116436775","0.38924241116436775","0.38924241116436775"
"30","0.3926230789025545","0.3926230789025545","0.3926230789025545"
"31","0.3939936121159075","0.3939936121159075","0.3939936121159075"
"32","0.39708445917748647","0.39708445917748647","0.39708445917748647"
"33","0.39903459849877304","0.39903459849877304","0.39903459849877304"
"34","0.40159109332974946","0.40159109332974946","0.40159109332974946"
"35","0.4039873871743504","0.4039873871743504","0.4039873871743504"
"36","0.4057515362791652","0.4057515362791652","0.4057515362791652"
"37","0.40753927673610785","0.40753927673610785","0.40753927673610785"
"38","0.408514603986994","0.408514603986994","0.408514603986994"
"39","0.41111868465268775","0.41111868465268775","0.41111868465268775"
"40","0.41314429863496155","0.41314429863496155","0.41314429863496155"
"41","0.41466161014374164","0.41466161014374164","0.41466161014374164"
"42","0.417148523400392","0.417148523400392","0.417148523400392"
"43","0.42025065516529975","0.42025065516529975","0.42025065516529975"
"44","0.4221608027591483","0.4221608027591483","0.4221608027591483"
"45","0.4243518680726254","0.4243518680726254","0.4243518680726254"
"46","0.42608112983274465","0.42608112983274465","0.42608112983274465"
"47","0.4297047474206474","0.4297047474206474","0.4297047474206474"
"48","0.4321871182890021","0.4321871182890021","0.4321871182890021"
"49","0.4333943270200636","0.4333943270200636","0.4333943270200636"
"50","0.43579804674969785","0.43579804674969785","0.43579804674969785"
"51","0.43616867753055627","0.43616867753055627","0.43616867753055627"
"52","0.43776377669711636","0.43776377669711636","0.43776377669711636"
"53","0.43903413013319864","0.43903413013319864","0.43903413013319864"
"54","0.44091455131477814","0.44091455131477814","0.44091455131477814"
"55","0.44220324155252144","0.44220324155252144","0.44220324155252144"
"56","0.4436922345945577","0.4436922345945577","0.4436922345945577"
"57","0.4451156154915544","0.4451156154915544","0.4451156154915544"
"58","0.4469143414487462","0.4469143414487462","0.4469143414487462"
"59","0.4470167046624887","0.4470167046624887","0.4470167046624887"
"60","0.4485089989112035","0.4485089989112035","0.4485089989112035"
"61","0.45078517567269866","0.45078517567269866","0.45078517567269866"
"62","0.45201387388770037","0.45201387388770037","0.45201387388770037"
"63","0.4535114896418279","0.4535114896418279","0.4535114896418279"
"64","0.4543400156504662","0.4543400156504662","0.4543400156504662"
"65","0.4556175089612673","0.4556175089612673","0.4556175089612673"
"66","0.45739657209075","0.45739657209075","0.45739657209075"
"67","0.45783148072696805","0.45783148072696805","0.45783148072696805"
"68","0.45897705662181604","0.45897705662181604","0.45897705662181604"
"69","0.45960941269225114","0.45960941269225114","0.45960941269225114"
"70","0.46089150839881693","0.46089150839881693","0.46089150839881693"
"71","0.4609459155716052","0.4609459155716052","0.4609459155716052"
"72","0.4607313847118369","0.4607313847118369","0.4607313847118369"
"73","0.4621386995601167","0.4621386995601167","0.4621386995601167"
"74","0.46312668162450965","0.46312668162450965","0.46312668162450965"
"75","0.4638047893723389","0.4638047893723389","0.4638047893723389"
"76","0.46455871220002115","0.46455871220002115","0.46455871220002115"
"77","0.46502026448860273","0.46502026448860273","0.46502026448860273"
"78","0.4656776390152286","0.4656776390152286","0.4656776390152286"
"79","0.4655368633499724","0.4655368633499724","0.4655368633499724"
